Heb Sort	Greek Sort	BSB Sort	Verse	Language	WLC / Nestle Base TR RP WH NE NA SBL	WLC / Nestle Base {TR} ⧼RP⧽ (WH) 〈NE〉 [NA] ‹SBL› [[ECM]]	Translit	Parsing	Parsing	Str Heb	Str Grk	VerseId	Hdg	Crossref	Par	Space	begQ	 BSB version 	pnc	endQ	footnotes	End text
64	0	65	4	Hebrew	וַיַּבְדֵּ֣ל	וַיַּבְדֵּ֣ל	way·yaḇ·dêl	Conj-w | V-Hifil-ConsecImperf-3ms	Conjunctive waw | Verb - Hifil - Consecutive imperfect - third person masculine singular	914								 separated 				
67	0	66	4	Hebrew	הָא֖וֹר	הָא֖וֹר	hā·’ō·wr	Art | N-cs	Article | Noun - common singular	216								 the light 				
68	0	67	4	Hebrew	וּבֵ֥ין	וּבֵ֥ין	ū·ḇên	Conj-w | Prep	Conjunctive waw | Preposition	996								 from 				
66	0	68	4	Hebrew	בֵּ֥ין	בֵּ֥ין	bên	Prep	Preposition	996								 . . . 				
69	0	69	4	Hebrew	הַחֹֽשֶׁךְ׃	הַחֹֽשֶׁךְ׃	ha·ḥō·šeḵ	Art | N-ms	Article | Noun - masculine singular	2822								 the darkness 	.			
81	0	80	5	Hebrew	אֱלֹהִ֤ים׀	אֱלֹהִ֤ים׀	’ĕ·lō·hîm	N-mp	Noun - masculine plural	430		Genesis 1:5						 God 				
80	0	81	5	Hebrew	וַיִּקְרָ֨א	וַיִּקְרָ֨א	way·yiq·rā	Conj-w | V-Qal-ConsecImperf-3ms	Conjunctive waw | Verb - Qal - Consecutive imperfect - third person masculine singular	7121								 called 				
82	0	82	5	Hebrew	לָאוֹר֙	לָאוֹר֙	lā·’ō·wr	Prep-l, Art | N-cs	Preposition-l, Article | Noun - common singular	216								 the light 				
83	0	83	5	Hebrew	י֔וֹם	י֔וֹם	yō·wm	N-ms	Noun - masculine singular	3117							“ 	 day 	,	”		
84	0	84	5	Hebrew	וְלַחֹ֖שֶׁךְ	וְלַחֹ֖שֶׁךְ	wə·la·ḥō·šeḵ	Conj-w, Prep-l, Art | N-ms	Conjunctive waw, Preposition-l, Article | Noun - masculine singular	2822								 and the darkness 				
85	0	85	5	Hebrew	קָ֣רָא	קָ֣רָא	qā·rā	V-Qal-Perf-3ms	Verb - Qal - Perfect - third person masculine singular	7121								 He called 				
86	0	86	5	Hebrew	לָ֑יְלָה	לָ֑יְלָה	lā·yə·lāh	N-ms	Noun - masculine singular	3915							“ 	 night 	.	”		
87	0	87	5	Hebrew	וַֽיְהִי־	וַֽיְהִי־	way·hî-	Conj-w | V-Qal-ConsecImperf-3ms	Conjunctive waw | Verb - Qal - Consecutive imperfect - third person masculine singular	1961					<p class=|tab1stline|>			 And there was 				
88	0	88	5	Hebrew	עֶ֥רֶב	עֶ֥רֶב	‘e·reḇ	N-ms	Noun - masculine singular	6153								 evening 	,			
89	0	89	5	Hebrew	וַֽיְהִי־	וַֽיְהִי־	way·hî-	Conj-w | V-Qal-ConsecImperf-3ms	Conjunctive waw | Verb - Qal - Consecutive imperfect - third person masculine singular	1961								 and there was 				
90	0	90	5	Hebrew	בֹ֖קֶר	בֹ֖קֶר	ḇō·qer	N-ms	Noun - masculine singular	1242								 morning 	 — 			
92	0	91	5	Hebrew	אֶחָֽד׃פ	אֶחָֽד׃פ	’e·ḥāḏ	Number-ms	Number - masculine singular	259								 the first 				
91	0	92	5	Hebrew	י֥וֹם	י֥וֹם	yō·wm	N-ms	Noun - masculine singular	3117								 day 	.		Literally <i>day one</i>	
105	0	103	6	Hebrew	אֱלֹהִ֔ים	אֱלֹהִ֔ים	’ĕ·lō·hîm	N-mp	Noun - masculine plural	430		Genesis 1:6	<p class=|subhdg|>The Second Day		<p class=|tab1stline|>			 And God 				
104	0	104	6	Hebrew	וַיֹּ֣אמֶר	וַיֹּ֣אמֶר	way·yō·mer	Conj-w | V-Qal-ConsecImperf-3ms	Conjunctive waw | Verb - Qal - Consecutive imperfect - third person masculine singular	559								 said 	,			
106	0	105	6	Hebrew	יְהִ֥י	יְהִ֥י	yə·hî	V-Qal-Imperf.Jus-3ms	Verb - Qal - Imperfect Jussive - third person masculine singular	1961							“	 Let there be 				
107	0	106	6	Hebrew	רָקִ֖יעַ	רָקִ֖יעַ	rā·qî·a‘	N-ms	Noun - masculine singular	7549								 an expanse 			Or <i>a canopy</i> or <i>a firmament</i> or <i>a vault</i>; also in verses 7, 8, 14, 15, 17, and 20	
108	0	107	6	Hebrew	בְּת֣וֹךְ	בְּת֣וֹךְ	bə·ṯō·wḵ	Prep-b | N-msc	Preposition-b | Noun - masculine singular construct	8432								 between 				
109	0	108	6	Hebrew	הַמָּ֑יִם	הַמָּ֑יִם	ham·mā·yim	Art | N-mp	Article | Noun - masculine plural	4325								 the waters 	,			
110	0	109	6	Hebrew	וִיהִ֣י	וִיהִ֣י	wî·hî	Conj-w | V-Qal-ConjImperf.Jus-3ms	Conjunctive waw | Verb - Qal - Conjunctive imperfect Jussive - third person masculine singular	1961								 to 				
111	0	110	6	Hebrew	מַבְדִּ֔יל	מַבְדִּ֔יל	maḇ·dîl	V-Hifil-Prtcpl-ms	Verb - Hifil - Participle - masculine singular	914								 separate 				
112	0	111	6	Hebrew	בֵּ֥ין	בֵּ֥ין	bên	Prep	Preposition	996								 . . . 				
113	0	112	6	Hebrew	מַ֖יִם	מַ֖יִם	ma·yim	N-mp	Noun - masculine plural	4325								 the waters 				
114	0	113	6	Hebrew	לָמָֽיִם׃	לָמָֽיִם׃	lā·mā·yim	Prep-l | N-mp	Preposition-l | Noun - masculine plural	4325								 from the waters 	.	” 		
126	0	124	7	Hebrew	אֱלֹהִים֮	אֱלֹהִים֮	’ĕ·lō·hîm	N-mp	Noun - masculine plural	430		Genesis 1:7						 So God 				
127	0	125	7	Hebrew	אֶת־	אֶת־	’eṯ-	DirObjM	Direct object marker	853								 - 				
125	0	126	7	Hebrew	וַיַּ֣עַשׂ	וַיַּ֣עַשׂ	way·ya·‘aś	Conj-w | V-Qal-ConsecImperf-3ms	Conjunctive waw | Verb - Qal - Consecutive imperfect - third person masculine singular	6213								 made 				
128	0	127	7	Hebrew	הָרָקִיעַ֒	הָרָקִיעַ֒	hā·rā·qî·a‘	Art | N-ms	Article | Noun - masculine singular	7549								 the expanse 				
