Heb Sort	Greek Sort	BSB Sort	Verse	Language	WLC / Nestle Base TR RP WH NE NA SBL	WLC / Nestle Base {TR} ⧼RP⧽ (WH) 〈NE〉 [NA] ‹SBL› [[ECM]]	Translit	Parsing	Parsing	Str Heb	Str Grk	VerseId	Hdg	Crossref	Par	Space	begQ	 BSB version 	pnc	endQ	footnotes	End text
999999	29106	566052	24218	Greek	Ἠσαΐᾳ	Ἠσαΐᾳ	Ēsaia	N-DMS	Noun - Dative Masculine Singular		2268							 Isaiah 				
999999	29107	566053	24218	Greek	τῷ	τῷ	tō	Art-DMS	Article - Dative Masculine Singular		3588							 the 				
999999	29108	566054	24218	Greek	προφήτῃ	προφήτῃ	prophētē	N-DMS	Noun - Dative Masculine Singular		4396							 prophet 	:		BYZ and TR <i>in the prophets:</i>	
999999	29109	566055	24218	Greek	Ἰδοὺ	Ἰδοὺ	Idou	V-AMA-2S	Verb - Aorist Imperative Active - 2nd Person Singular		2400				<p class=|indent1stline|>		“	 Behold 	,			
999999	29110	566056	24218	Greek	ἀποστέλλω	ἀποστέλλω	apostellō	V-PIA-1S	Verb - Present Indicative Active - 1st Person Singular		649							 I will send 				
999999	29113	566057	24218	Greek	μου	μου	mou	PPro-G1S	Personal / Possessive Pronoun - Genitive 1st Person Singular		1473							 My 				
999999	29111	566058	24218	Greek	τὸν	τὸν	ton	Art-AMS	Article - Accusative Masculine Singular		3588							 - 				
999999	29112	566059	24218	Greek	ἄγγελόν	ἄγγελόν	angelon	N-AMS	Noun - Accusative Masculine Singular		32							 messenger 				
999999	29114	566060	24218	Greek	πρὸ	πρὸ	pro	Prep	Preposition		4253							 ahead of You 				
999999	29116	566061	24218	Greek	σου	σου	sou	PPro-G2S	Personal / Possessive Pronoun - Genitive 2nd Person Singular		4771							 . . . 				
999999	29115	566062	24218	Greek	προσώπου	προσώπου	prosōpou	N-GNS	Noun - Genitive Neuter Singular		4383							 . . . 	,			
999999	29117	566063	24218	Greek	ὃς	ὃς	hos	RelPro-NMS	Personal / Relative Pronoun - Nominative Masculine Singular		3739				<p class=|indent2|>			 who 				
999999	29118	566064	24218	Greek	κατασκευάσει	κατασκευάσει	kataskeuasei	V-FIA-3S	Verb - Future Indicative Active - 3rd Person Singular		2680							 will prepare 				
999999	29121	566065	24218	Greek	σου	σου	sou	PPro-G2S	Personal / Possessive Pronoun - Genitive 2nd Person Singular		4771							 Your 				
999999	29119	566066	24218	Greek	τὴν	τὴν	tēn	Art-AFS	Article - Accusative Feminine Singular		3588							 - 				
999999	29120	566067	24218	Greek	ὁδόν	ὁδόν	hodon	N-AFS	Noun - Accusative Feminine Singular		3598							 way 	.”		Malachi 3:1	
999999	29132	566078	24219	Greek	Φωνὴ	Φωνὴ	Phōnē	N-NFS	Noun - Nominative Feminine Singular		5456	Mark 1:3			<p class=|indent1|>		“	 A voice 				
999999	29133	566079	24219	Greek	βοῶντος	βοῶντος	boōntos	V-PPA-GMS	Verb - Present Participle Active - Genitive Masculine Singular		994							 of one calling 				
999999	29134	566080	24219	Greek	ἐν	ἐν	en	Prep	Preposition		1722							 in 				
999999	29135	566081	24219	Greek	τῇ	τῇ	tē	Art-DFS	Article - Dative Feminine Singular		3588							 the 				
999999	29136	566082	24219	Greek	ἐρήμῳ	ἐρήμῳ	erēmō	Adj-DFS	Adjective - Dative Feminine Singular		2048							 wilderness 	,			
999999	29137	566083	24219	Greek	Ἑτοιμάσατε	Ἑτοιμάσατε	Hetoimasate	V-AMA-2P	Verb - Aorist Imperative Active - 2nd Person Plural		2090				<p class=|indent2|>		‘	 Prepare 				
999999	29138	566084	24219	Greek	τὴν	τὴν	tēn	Art-AFS	Article - Accusative Feminine Singular		3588							 the 				
999999	29139	566085	24219	Greek	ὁδὸν	ὁδὸν	hodon	N-AFS	Noun - Accusative Feminine Singular		3598							 way 				
999999	29140	566086	24219	Greek	Κυρίου	Κυρίου	Kyriou	N-GMS	Noun - Genitive Masculine Singular		2962							 for [the] Lord 	,			
999999	29142	566087	24219	Greek	ποιεῖτε	ποιεῖτε	poieite	V-PMA-2P	Verb - Present Imperative Active - 2nd Person Plural		4160				<p class=|indent2|>			 make 				
999999	29141	566088	24219	Greek	εὐθείας	εὐθείας	eutheias	Adj-AFP	Adjective - Accusative Feminine Plural		2117							 straight 				
999999	29143	566089	24219	Greek	τὰς	τὰς	tas	Art-AFP	Article - Accusative Feminine Plural		3588							 - 				
999999	29144	566090	24219	Greek	τρίβους	τρίβους	tribous	N-AFP	Noun - Accusative Feminine Plural		5147							 paths 				
999999	29145	566091	24219	Greek	αὐτοῦ	αὐτοῦ	autou	PPro-GM3S	Personal / Possessive Pronoun - Genitive Masculine 3rd Person Singular		846							 for Him 	.’”		Isaiah 40:3 (see also LXX)	
999999	29157	566102	24220	Greek	Ἰωάννης	Ἰωάννης	Iōannēs	N-NMS	Noun - Nominative Masculine Singular		2491	Mark 1:4			<p class=|reg|>			 John 				
999999	29158	566103	24220	Greek	ὁ	ὁ	ho	Art-NMS	Article - Nominative Masculine Singular		3588							 the 				
999999	29159	566104	24220	Greek	βαπτίζων	βαπτίζων	baptizōn	V-PPA-NMS	Verb - Present Participle Active - Nominative Masculine Singular		907							 Baptist 				
999999	29156	566105	24220	Greek	Ἐγένετο	Ἐγένετο	Egeneto	V-AIM-3S	Verb - Aorist Indicative Middle - 3rd Person Singular		1096							 appeared 				
999999	29160	566106	24220	Greek	ἐν	ἐν	en	Prep	Preposition		1722							 in 				
999999	29161	566107	24220	Greek	τῇ	τῇ	tē	Art-DFS	Article - Dative Feminine Singular		3588							 the 				
999999	29162	566108	24220	Greek	ἐρήμῳ	ἐρήμῳ	erēmō	Adj-DFS	Adjective - Dative Feminine Singular		2048							 wilderness 	,			
999999	29163	566109	24220	Greek	καὶ	[καὶ]	kai	Conj	Conjunction		2532							 - 				
999999	29164	566110	24220	Greek	κηρύσσων	κηρύσσων	kēryssōn	V-PPA-NMS	Verb - Present Participle Active - Nominative Masculine Singular		2784							 preaching 				
999999	29165	566111	24220	Greek	βάπτισμα	βάπτισμα	baptisma	N-ANS	Noun - Accusative Neuter Singular		908							 [a] baptism 				
999999	29166	566112	24220	Greek	μετανοίας	μετανοίας	metanoias	N-GFS	Noun - Genitive Feminine Singular		3341							 of repentance 				
999999	29167	566113	24220	Greek	εἰς	εἰς	eis	Prep	Preposition		1519							 for 				
999999	29168	566114	24220	Greek	ἄφεσιν	ἄφεσιν	aphesin	N-AFS	Noun - Accusative Feminine Singular		859							 [the] forgiveness 				
999999	29169	566115	24220	Greek	ἁμαρτιῶν	ἁμαρτιῶν	hamartiōn	N-GFP	Noun - Genitive Feminine Plural		266							 of sins 	.			
999999	29180	566126	24221	Greek	καὶ	καὶ	kai	Conj	Conjunction		2532	Mark 1:5						 - 				
999999	29181	566127	24221	Greek	ἐξεπορεύετο	ἐξεπορεύετο	exeporeueto	V-IIM/P-3S	Verb - Imperfect Indicative Middle or Passive - 3rd Person Singular		1607							 [People] went out 				
999999	29182	566128	24221	Greek	πρὸς	πρὸς	pros	Prep	Preposition		4314							 to 				
999999	29183	566129	24221	Greek	αὐτὸν	αὐτὸν	auton	PPro-AM3S	Personal / Possessive Pronoun - Accusative Masculine 3rd Person Singular		846							 him 				
999999	29189	566130	24221	Greek	οἱ	οἱ	hoi	Art-NMP	Article - Nominative Masculine Plural		3588							 . . . 				
999999	29191	566131	24221	Greek	πάντες	πάντες	pantes	Adj-NMP	Adjective - Nominative Masculine Plural		3956							 from all 				
999999	29190	566132	24221	Greek	Ἱεροσολυμῖται	Ἱεροσολυμῖται	Hierosolymitai	N-NMP	Noun - Nominative Masculine Plural		2415							 of Jerusalem 				
999999	29188	566133	24221	Greek	καὶ	καὶ	kai	Conj	Conjunction		2532							 and 				
999999	29184	566134	24221	Greek	πᾶσα	πᾶσα	pasa	Adj-NFS	Adjective - Nominative Feminine Singular		3956							 - 				
999999	29185	566135	24221	Greek	ἡ	ἡ	hē	Art-NFS	Article - Nominative Feminine Singular		3588							 the 				
999999	29187	566136	24221	Greek	χώρα	χώρα	chōra	N-NFS	Noun - Nominative Feminine Singular		5561							 countryside 				
999999	29186	566137	24221	Greek	Ἰουδαία	Ἰουδαία	Ioudaia	N-NFS	Noun - Nominative Feminine Singular		2449							 of Judea 	.			
999999	29192	566138	24221	Greek	καὶ	καὶ	kai	Conj	Conjunction		2532							 - 				
999999	29200	566139	24221	Greek	ἐξομολογούμενοι	ἐξομολογούμενοι	exomologoumenoi	V-PPM-NMP	Verb - Present Participle Middle - Nominative Masculine Plural		1843							 Confessing 				
999999	29203	566140	24221	Greek	αὐτῶν	αὐτῶν	autōn	PPro-GM3P	Personal / Possessive Pronoun - Genitive Masculine 3rd Person Plural		846							 their 				
999999	29201	566141	24221	Greek	τὰς	τὰς	tas	Art-AFP	Article - Accusative Feminine Plural		3588							 - 				
999999	29202	566142	24221	Greek	ἁμαρτίας	ἁμαρτίας	hamartias	N-AFP	Noun - Accusative Feminine Plural		266							 sins 	,			
999999	29193	566143	24221	Greek	ἐβαπτίζοντο	ἐβαπτίζοντο	ebaptizonto	V-IIM/P-3P	Verb - Imperfect Indicative Middle or Passive - 3rd Person Plural		907							 they were baptized 				
999999	29194	566144	24221	Greek	ὑπ’	ὑπ’	hyp’	Prep	Preposition		5259							 by 				
999999	29195	566145	24221	Greek	αὐτοῦ	αὐτοῦ	autou	PPro-GM3S	Personal / Possessive Pronoun - Genitive Masculine 3rd Person Singular		846							 him 				
999999	29196	566146	24221	Greek	ἐν	ἐν	en	Prep	Preposition		1722							 in 				
999999	29197	566147	24221	Greek	τῷ	τῷ	tō	Art-DMS	Article - Dative Masculine Singular		3588							 the 				
999999	29198	566148	24221	Greek	Ἰορδάνῃ	Ἰορδάνῃ	Iordanē	N-DMS	Noun - Dative Masculine Singular		2446							 Jordan 				
999999	29199	566149	24221	Greek	ποταμῷ	ποταμῷ	potamō	N-DMS	Noun - Dative Masculine Singular		4215							 River 	.			
